case_name,dd_risk_mode,dd_soft,dd_hard,dd_recover,dd_soft_scale,dd_hard_scale,start_name,start,returncode,annual,pnl_ratio,sharpe,max_drawdown,win_ratio,open_count,close_count,log_file,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
pos94_sl07tp07_dd0610_s7050,1,0.06,0.1,0.03,0.7,0.5,full_20240605,2024-06-05 09:00:00,0,5.6087655121453945,11.509494160539454,1.8478947458233166,0.40443128652747323,0.5891089108910891,203,202,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0610_s7050_full_20240605.log,0.38825337551020417,0.24489795918367346,1,490
pos94_sl07tp07_dd0610_s7050,1,0.06,0.1,0.03,0.7,0.5,recent60_20260324,2026-03-24 09:00:00,0,0.5629245177538614,0.14188782365302807,1.0912703295640696,0.21095590330471908,0.5238095238095238,22,21,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0610_s7050_recent60_20260324.log,0.4601050545454544,0.36363636363636365,1,55
pos94_sl07tp07_dd0610_s7050,1,0.06,0.1,0.03,0.7,0.5,late_20250701,2025-07-01 09:00:00,0,2.9704572355079657,2.9134895624982238,2.4151326053685334,0.21196967341775003,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0610_s7050_late_20250701.log,0.43731735064935073,0.33766233766233766,1,231
pos94_sl07tp07_dd0610_s7050,1,0.06,0.1,0.03,0.7,0.5,late_20251009,2025-10-09 09:00:00,0,2.0467469370853357,1.4467416705973057,2.452047425312409,0.2114330886016768,0.5866666666666667,76,75,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0610_s7050_late_20251009.log,0.44929816969696984,0.36363636363636365,1,165
pos94_sl07tp07_dd0610_s7050,1,0.06,0.1,0.03,0.7,0.5,late_20260105,2026-01-05 09:00:00,0,1.8013629336821966,0.8389909554136258,2.444931894389123,0.21167027718182582,0.625,49,48,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0610_s7050_late_20260105.log,0.45091603809523806,0.38095238095238093,1,105
pos94_sl07tp07_dd0612_s8060,1,0.06,0.12,0.03,0.8,0.6,full_20240605,2024-06-05 09:00:00,0,7.243821116933878,14.864717853653357,1.8572281658514964,0.43417672561092385,0.5891089108910891,203,202,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0612_s8060_full_20240605.log,0.4214319653061226,0.24897959183673468,1,490
pos94_sl07tp07_dd0612_s8060,1,0.06,0.12,0.03,0.8,0.6,recent60_20260324,2026-03-24 09:00:00,0,0.44893653174983655,0.1131566052629725,0.8154349192999384,0.23371479876145926,0.5238095238095238,22,21,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0612_s8060_recent60_20260324.log,0.49756703636363636,0.36363636363636365,1,55
pos94_sl07tp07_dd0612_s8060,1,0.06,0.12,0.03,0.8,0.6,late_20250701,2025-07-01 09:00:00,0,3.512146097025276,3.444789870506983,2.453025297851528,0.23483864681668726,0.5981308411214953,108,107,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0612_s8060_late_20250701.log,0.46321109090909096,0.341991341991342,1,231
pos94_sl07tp07_dd0612_s8060,1,0.06,0.12,0.03,0.8,0.6,late_20251009,2025-10-09 09:00:00,0,2.105187903411756,1.4880506276170766,2.361690400197073,0.23459178614338272,0.5866666666666667,76,75,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0612_s8060_late_20251009.log,0.47045665454545466,0.36363636363636365,1,165
pos94_sl07tp07_dd0612_s8060,1,0.06,0.12,0.03,0.8,0.6,late_20260105,2026-01-05 09:00:00,0,1.82343377111732,0.8492705235340943,2.335805123575386,0.23428877509799442,0.625,49,48,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_goal_high_annual_20260623\top1_no_delist_rerun_20260624\diversification_tune_20260624\strict_sync_liquidity_neighborhood_20260624\formal_horizon_entry_confirmation_20260624\dynamic_h2_m3_pos94_sl07tp07_dd_neighborhood_20260624\logs\pos94_sl07tp07_dd0612_s8060_late_20260105.log,0.47312043809523807,0.38095238095238093,1,105
