name,eligible,disqualification_reason,mode,rank_max,pred_min,primary_count_min,avg_pred_min,max_positions,holding_days,target_pct,extra_env,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_signal_target_pct,max_signal_target_pct,min_signal_target_pct,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
strongday_top5_mp5_t20_h6,True,,equal,5,,2,,5,6,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top5_mp5_t20_h6.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top5_mp5_t20_h6.log,1.0285890242126718,1.9702417037686766,0.30901959557746256,0.5456989247311828,377,372,2022,409,0.19999999999999288,0.2,0.2,0.5586201807228912,0.07228915662650602,5,498
top3_mp5_t20_h5,True,,equal,3,,,,5,5,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\top3_mp5_t20_h5.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\top3_mp5_t20_h5.log,0.8687383153024291,1.4416298496454965,0.28433709637507915,0.5617977528089888,449,445,1482,494,0.19999999999999443,0.2,0.2,0.5941659678714857,0.04216867469879518,4,498
strongday_top3_mp5_t20_h5,True,,equal,3,,2,,5,5,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top3_mp5_t20_h5.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top3_mp5_t20_h5.log,0.8562911681820088,1.7545153610061173,0.31875377153538675,0.5555555555555556,391,387,1227,409,0.1999999999999956,0.2,0.2,0.5272889337349392,0.050200803212851405,4,498
strongday_top4_r4p1985_t22_h7,True,,equal,4,,2,,5,7,0.22,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_r4p1985_t22_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_r4p1985_t22_h7.log,0.8336848875880942,1.507695023095993,0.26276767814040763,0.5714285714285714,280,280,1204,301,0.2199999999999999,0.22,0.22,0.4955954598393573,0.10843373493975904,5,498
strongday_top4_gap1005_t22_h7,True,,equal,4,,2,,5,7,0.22,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_gap1005_t22_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_gap1005_t22_h7.log,0.7790735051570289,1.433196281319837,0.24179549251465915,0.5431654676258992,282,278,1096,274,0.21999999999999897,0.22,0.22,0.5682058373493973,0.22690763052208834,5,498
top3_mp5_t20_h7,True,,equal,3,,,,5,7,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\top3_mp5_t20_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\top3_mp5_t20_h7.log,0.7457165253111555,1.3336420489547895,0.3541794105105145,0.5534441805225653,425,421,1482,494,0.19999999999999443,0.2,0.2,0.6026319658634536,0.04216867469879518,4,498
strongday_top4_r4p1990_t22_h7,True,,equal,4,,2,,5,7,0.22,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_r4p1990_t22_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_r4p1990_t22_h7.log,0.7224842382460559,1.59922200387993,0.20018910849790306,0.5656108597285068,221,221,808,202,0.219999999999999,0.22,0.22,0.4576895020080318,0.21285140562248997,5,498
strongday_top4_avg2493_t22_h7,True,,equal,4,,2,,5,7,0.22,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\strongday_top4_avg2493_t22_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\strongday_top4_avg2493_t22_h7.log,0.6895455372808604,1.7972452698313452,0.1399532515403914,0.6022727272727273,176,176,680,170,0.21999999999999903,0.22,0.22,0.36446657028112456,0.1465863453815261,4,498
primary_top3_mp5_t20_h5,True,,equal,3,2.0,,,5,5,0.2,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\primary_top3_mp5_t20_h5.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\primary_top3_mp5_t20_h5.log,0.5626520917929637,1.7617524518089709,0.25884027899135265,0.5620689655172414,295,290,902,493,0.19999999999999812,0.2,0.2,0.34238058634538165,0.01606425702811245,4,498
top2_mp5_t25_h7,True,,equal,2,,,,5,7,0.25,,0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\signals\top2_mp5_t25_h7.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_strong_signal_concentration_20260621\logs\top2_mp5_t25_h7.log,0.5200149423229355,1.1493184513676646,0.29918758256411404,0.5463576158940397,306,302,988,494,0.25,0.25,0.25,0.46994651606425625,0.010040160642570281,4,498
