name,rules_json,returncode,signal_file,log_file,annual,sharpe,max_drawdown,win_ratio,open_count,close_count,signal_count,buy_days,avg_signal_target_pct,max_signal_target_pct,avg_day_target_sum,min_day_target_sum,avg_invested_pct,ge80_ratio,max_active_positions,exposure_points
gap_t0p03_g1p16_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.03}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p03_g1p16_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p03_g1p16_b0p88.log,3.069116054298857,3.057112785186123,0.2200589170539941,0.6051873198847262,352,347,1879,382,0.1932444917509298,0.2436,0.9505403141361276,0.1848,0.6099032168674697,0.20080321285140562,5,498
gap_t0p02_g1p08_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.02}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p02_g1p08_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p02_g1p08_b0p88.log,3.0835558235966998,3.055195728098513,0.22469037049366403,0.6051873198847262,352,347,1879,382,0.19274152740819378,0.2268,0.948066308900526,0.1848,0.609955200803213,0.20682730923694778,5,498
gap_t0p02_g1p16_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.02}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p02_g1p16_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p02_g1p16_b0p88.log,3.0942001088636353,3.0529628193936125,0.22397721788368605,0.6051873198847262,352,347,1879,382,0.19294287919105732,0.2436,0.9490567277486932,0.1848,0.6099613052208829,0.20883534136546184,5,498
gap_t0p02_g1p12_b0p88,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.02}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.88, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p02_g1p12_b0p88.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p02_g1p12_b0p88.log,3.0835561019940974,3.0523787219345895,0.22436687356671994,0.6051873198847262,352,347,1879,382,0.19284213411388879,0.2352,0.9485611780104737,0.1848,0.6100052068273094,0.20682730923694778,5,498
gap_t0p03_g1p08_b0p94,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.03}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.94, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p03_g1p08_b0p94.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p03_g1p08_b0p94.log,3.1410857433489157,3.04994938609879,0.22815477737841802,0.6051873198847262,352,347,1879,382,0.19606911122937556,0.2268,0.964434188481678,0.1974,0.6178916305220884,0.21084337349397592,5,498
gap_t0p03_g1p12_b0p94,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.03}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.94, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p03_g1p12_b0p94.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p03_g1p12_b0p94.log,3.1346665403887024,3.048469902879555,0.22664570781799528,0.6051873198847262,352,347,1879,382,0.1961963704097918,0.2352,0.9650601570680652,0.1974,0.6178256606425706,0.20281124497991967,5,498
gap_t0p03_g1p16_b0p94,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.03}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.94, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p03_g1p16_b0p94.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p03_g1p16_b0p94.log,3.1248231246418,3.0468094648133293,0.22477505162635183,0.6051873198847262,352,347,1879,382,0.1963087865886101,0.2436,0.965613115183248,0.1974,0.6176305722891565,0.20080321285140562,5,498
gap_t0p025_g1p08_b0p94,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.025}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.94, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p025_g1p08_b0p94.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p025_g1p08_b0p94.log,3.132821083509454,3.0461482100459816,0.2301304841153312,0.6051873198847262,352,347,1879,382,0.1960331186801474,0.2268,0.9642571465968607,0.1974,0.6179922309236945,0.20281124497991967,5,498
gap_t0p015_g1p12_b0p94,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.015}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.94, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p015_g1p12_b0p94.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p015_g1p12_b0p94.log,3.145657545707956,3.046076289972149,0.23011090528625305,0.6051873198847262,352,347,1879,382,0.19593823310271288,0.2352,0.9637904188481707,0.1974,0.6179030522088351,0.21084337349397592,5,498
gap_t0p015_g1p08_b0p94,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.015}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.94, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p015_g1p08_b0p94.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p015_g1p08_b0p94.log,3.1460955320374833,3.045582171676799,0.23072723152150135,0.6051873198847262,352,347,1879,382,0.1958828738690779,0.2268,0.9635181151832487,0.1974,0.6179728855421686,0.21485943775100402,5,498
gap_t0p025_g1p12_b0p94,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.12, ""threshold"": 0.025}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.94, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p025_g1p12_b0p94.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p025_g1p12_b0p94.log,3.12572721905458,3.0443964946793014,0.2294443767470473,0.6051873198847262,352,347,1879,382,0.1961437945715797,0.2352,0.9648015445026202,0.1974,0.6179997148594375,0.20080321285140562,5,498
gap_t0p015_g1p16_b0p94,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.015}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.94, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p015_g1p16_b0p94.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p015_g1p16_b0p94.log,3.1434381175864075,3.0441245125955976,0.22984115937674254,0.6051873198847262,352,347,1879,382,0.19598955827567727,0.2436,0.9640428795811544,0.1974,0.6179535883534135,0.20883534136546184,5,498
gap_t0p025_g1p16_b0p94,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.16, ""threshold"": 0.025}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.94, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p025_g1p16_b0p94.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p025_g1p16_b0p94.log,3.113581170548564,3.0405004970982596,0.22880307872485423,0.6051873198847262,352,347,1879,382,0.19624328366152122,0.2436,0.9652909162303681,0.1974,0.6179747469879517,0.20281124497991967,5,498
gap_t0p02_g1p08_b0p94,"[{""field"": ""pred_gap"", ""op"": ""lt"", ""scale"": 1.08, ""threshold"": 0.02}, {""field"": ""pred_gap"", ""lower"": 0.05, ""op"": ""between"", ""scale"": 0.94, ""upper"": 0.1}]",0,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\signals\gap_t0p02_g1p08_b0p94.csv,D:\work\quant\quant_mcp\quant\data_file\reports\strategy_agent_model_application_20260621\formal_5d10d_gap_threshold_refine_20260622\logs\gap_t0p02_g1p08_b0p94.log,3.1344274518229116,3.040053461313647,0.2308625983595427,0.6051873198847262,352,347,1879,382,0.19594002660989734,0.2268,0.9637992408376991,0.1974,0.6181555240963857,0.20883534136546184,5,498
